hidden neurons,optimizer,batch size,epochs,F1 Score,Recall,Precision,learning rate,Fold,Loss,Time
20,SGD,5,10,0.7285740447010463,0.7254041528465628,0.7430582026239538,0.1,1.0,BCELoss,38.03002071380615
20,SGD,5,10,0.7266998723330773,0.7251885489094738,0.7298895355666065,0.1,2.0,BCELoss,37.50526571273804
20,SGD,5,10,0.7269721088280234,0.7267318799187611,0.727240787859512,0.1,3.0,BCELoss,36.283801555633545
20,SGD,5,10,0.7155128275646974,0.7128464044801421,0.7350257864507282,0.1,4.0,BCELoss,35.724700927734375
20,SGD,5,20,0.6094121527115132,0.6251075897107738,0.6982029116559908,0.001,0.0,BCELoss,71.0293972492218
20,SGD,5,20,0.6049099237221862,0.6224685355990731,0.6974243881644686,0.001,1.0,BCELoss,97.91194343566895
20,SGD,5,20,0.61366237471158,0.6288756143410414,0.694777217318201,0.001,2.0,BCELoss,111.41475367546082
20,SGD,5,20,0.5491912410413302,0.5909511795959816,0.7076850414078675,0.001,3.0,BCELoss,107.98695111274719
20,SGD,5,20,0.6126487935382554,0.6267180596822043,0.6898907138666059,0.001,4.0,BCELoss,108.45054197311401
20,SGD,5,20,0.7205024997654956,0.7181362767376775,0.7268747475234832,0.01,0.0,BCELoss,107.73328876495361
20,SGD,5,20,0.716548418055516,0.7136494161479394,0.7371902732623165,0.01,1.0,BCELoss,107.67538356781006
20,SGD,5,20,0.7154869379075274,0.7132320567118882,0.7257685708095425,0.01,2.0,BCELoss,108.50299000740051
20,SGD,5,20,0.7222887640271982,0.7197347722409604,0.7335810102926053,0.01,3.0,BCELoss,108.42376637458801
20,SGD,5,20,0.7086878017399545,0.7063729222709005,0.7316671220026632,0.01,4.0,BCELoss,108.96937942504883
20,SGD,5,20,0.7203673164180352,0.722178977885809,0.7195872203777771,0.1,0.0,BCELoss,108.25160121917725
20,SGD,5,20,0.7294154513838134,0.726121927393339,0.7462556087317092,0.1,1.0,BCELoss,86.87817645072937
20,SGD,5,20,0.7315365525631523,0.7294172536407492,0.7375656873067844,0.1,2.0,BCELoss,74.77366924285889
20,SGD,5,20,0.7343740353362023,0.7340697874732529,0.7347218635894154,0.1,3.0,BCELoss,72.66914939880371
20,SGD,5,20,0.7252262377215674,0.7222763806455192,0.7407003591585428,0.1,4.0,BCELoss,72.59447073936462
20,SGD,10,10,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,18.998862743377686
20,SGD,10,10,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,18.75874137878418
20,SGD,10,10,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,18.272750854492188
20,SGD,10,10,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,20.150423765182495
20,SGD,10,10,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,20.898416996002197
20,SGD,10,10,0.6863931119468445,0.6844605551390304,0.7051141225520242,0.01,0.0,BCELoss,17.63139510154724
20,SGD,10,10,0.6815323377184046,0.6808953155527284,0.7119630066635655,0.01,1.0,BCELoss,19.560790300369263
20,SGD,10,10,0.6898149671323196,0.6884458587185469,0.7081234285279765,0.01,2.0,BCELoss,18.851415634155273
