hidden neurons,optimizer,batch size,epochs,F1 Score,Recall,Precision,learning rate,Fold,Loss,Time
20,SGD,1,20,0.7590696900717178,0.7658036635874121,0.7609235109797643,0.01,0.0,BCELoss,527.6368880271912
20,SGD,1,20,0.7752975485746679,0.7740338043527648,0.77710447166308,0.01,1.0,BCELoss,538.4475615024567
20,SGD,1,20,0.7632961753429969,0.7670340633705524,0.7633442732944338,0.01,2.0,BCELoss,530.4311249256134
20,SGD,1,20,0.7718352693555173,0.7731699715301201,0.7710456537988756,0.01,3.0,BCELoss,536.3795084953308
20,SGD,1,20,0.7705329842346245,0.7678663513829516,0.7765517202602178,0.01,4.0,BCELoss,521.6156659126282
20,SGD,1,20,0.731687444941866,0.7373538172772531,0.7329554940051601,0.1,0.0,BCELoss,525.7631633281708
20,SGD,1,20,0.7422711849677875,0.7442153210050434,0.7414429343285245,0.1,1.0,BCELoss,533.3236920833588
20,SGD,1,20,0.7344834358154779,0.7353758521504767,0.7339166083706743,0.1,2.0,BCELoss,535.6748654842377
20,SGD,1,20,0.7340080499971062,0.7389659948137671,0.7353881502070952,0.1,3.0,BCELoss,536.9327614307404
20,SGD,1,20,0.733353413952778,0.7341058737419655,0.7328136720643497,0.1,4.0,BCELoss,536.5784468650818
20,SGD,5,10,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,87.30975198745728
20,SGD,5,10,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,87.8817367553711
20,SGD,5,10,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,84.42626285552979
20,SGD,5,10,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,87.85223698616028
20,SGD,5,10,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,82.99712634086609
20,SGD,5,10,0.3622709842351939,0.5,0.28403206948388177,0.01,0.0,BCELoss,78.3819477558136
20,SGD,5,10,0.361288945795988,0.5,0.28282659538924154,0.01,1.0,BCELoss,83.7532114982605
20,SGD,5,10,0.3588260497000857,0.5,0.279819579017708,0.01,2.0,BCELoss,84.30477356910706
20,SGD,5,10,0.35951209073400386,0.5,0.280654861343134,0.01,3.0,BCELoss,87.25058150291443
20,SGD,5,10,0.36040175232396626,0.5,0.2817407283661878,0.01,4.0,BCELoss,85.991281747818
20,SGD,5,10,0.76735467459964,0.7707085605366513,0.7665265567414972,0.1,0.0,BCELoss,77.64131808280945
20,SGD,5,10,0.7764116621194066,0.7736871279930937,0.7821533964756471,0.1,1.0,BCELoss,79.27753233909607
20,SGD,5,10,0.7664582603327768,0.7701528774941679,0.7664388872837163,0.1,2.0,BCELoss,87.68657732009888
20,SGD,5,10,0.7729206255603966,0.7756304854386538,0.7722068899827217,0.1,3.0,BCELoss,88.78643608093262
20,SGD,5,10,0.7727996274702665,0.7692062617878248,0.7835355765410228,0.1,4.0,BCELoss,81.78158903121948
20,SGD,5,20,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,160.50539112091064
20,SGD,5,20,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,160.7548291683197
20,SGD,5,20,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,152.34736323356628
20,SGD,5,20,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,154.7338888645172
20,SGD,5,20,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,147.03102135658264
20,SGD,5,20,0.6784161246014679,0.6832582792059021,0.7679704788458884,0.01,0.0,BCELoss,159.00565457344055
20,SGD,5,20,0.5740950423011401,0.6116001408514699,0.7665131849676909,0.01,1.0,BCELoss,149.21973371505737
20,SGD,5,20,0.62098293169644,0.6431445201911534,0.7635391307194135,0.01,2.0,BCELoss,154.3804624080658
20,SGD,5,20,0.4966072258560601,0.5675323232872738,0.7660591136304271,0.01,3.0,BCELoss,154.10938692092896
20,SGD,5,20,0.5966054923593318,0.6252263960137283,0.7555850834106587,0.01,4.0,BCELoss,152.19386625289917
20,SGD,5,20,0.7427419791666812,0.7495891409036922,0.745060843971902,0.1,0.0,BCELoss,154.92614030838013
20,SGD,5,20,0.7574780771438766,0.7565508428370212,0.7587266375815978,0.1,1.0,BCELoss,143.9923894405365
20,SGD,5,20,0.7361272607762483,0.7410326591624579,0.7376377912844085,0.1,2.0,BCELoss,157.6176929473877
20,SGD,5,20,0.7555638879263045,0.7569884941790883,0.7548041352961007,0.1,3.0,BCELoss,148.89353966712952
20,SGD,5,20,0.7455112753041324,0.7420935415059076,0.7596265426724678,0.1,4.0,BCELoss,159.08145809173584
20,SGD,10,10,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,67.19047355651855
20,SGD,10,10,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,65.03703594207764
20,SGD,10,10,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,66.09240221977234
20,SGD,10,10,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,62.3021125793457
20,SGD,10,10,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,66.4821572303772
20,SGD,10,10,0.3622709842351939,0.5,0.28403206948388177,0.01,0.0,BCELoss,66.98250436782837
